,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
355,NO,NO,NO,NO,HAVE DIFFICULTY,12.2,FEMALE,0.6,Poorest,Primary
361,YES,YES,YES,NO,NO DIFFICULTY,11.3,FEMALE,0.6,Second,Pre-primary or none
362,NO,YES,NO,NO,NO DIFFICULTY,14.0,FEMALE,5.5,Second,Secondary
365,NO,YES,NO,NO,HAVE DIFFICULTY,13.6,FEMALE,23.0,Fourth,Secondary
368,YES,NO,NO,NO,NO DIFFICULTY,16.8,FEMALE,33.5,Richest,Secondary
369,YES,YES,NO,YES,HAVE DIFFICULTY,14.2,MALE,4.7,Fourth,Secondary
371,NO,YES,NO,NO,NO DIFFICULTY,11.5,MALE,6.0,Richest,Higher secondary+
372,YES,NO,NO,NO,NO DIFFICULTY,10.8,FEMALE,12.5,Richest,Secondary
374,NO,YES,NO,NO,NO DIFFICULTY,17.3,FEMALE,51.1,Richest,Secondary
379,YES,YES,NO,NO,NO DIFFICULTY,12.8,FEMALE,66.0,Richest,Higher secondary+
382,NO,NO,NO,NO,NO DIFFICULTY,11.6,MALE,1.5,Second,Primary
387,YES,YES,NO,NO,NO DIFFICULTY,12.5,FEMALE,2.6,Richest,Secondary
390,YES,YES,NO,NO,NO DIFFICULTY,13.6,FEMALE,4.7,Second,Pre-primary or none
395,YES,YES,YES,YES,NO DIFFICULTY,11.9,MALE,4.6,Second,Primary
396,NO,YES,NO,NO,NO DIFFICULTY,18.5,MALE,52.1,Second,Secondary
399,YES,NO,NO,NO,NO DIFFICULTY,12.2,MALE,0.3,Middle,Secondary
401,NO,YES,NO,NO,NO DIFFICULTY,11.5,MALE,3.9,Fourth,Higher secondary+
405,YES,NO,NO,NO,NO DIFFICULTY,13.6,MALE,14.6,Second,Secondary
408,NO,NO,NO,NO,NO DIFFICULTY,11.1,FEMALE,1.2,Richest,Higher secondary+
410,YES,YES,YES,YES,NO DIFFICULTY,11.2,MALE,2.1,Second,Higher secondary+
411,YES,NO,NO,NO,HAVE DIFFICULTY,9.6,MALE,0.1,Second,Secondary
414,YES,NO,NO,NO,NO DIFFICULTY,12.6,FEMALE,1.9,Poorest,Secondary
415,NO,NO,NO,NO,NO DIFFICULTY,7.4,MALE,0.0,Middle,Primary
416,YES,NO,NO,NO,NO DIFFICULTY,17.2,MALE,59.1,Middle,Primary
419,YES,NO,YES,NO,NO DIFFICULTY,14.8,MALE,9.5,Poorest,Secondary
420,YES,NO,NO,NO,NO DIFFICULTY,12.2,FEMALE,7.9,Middle,Higher secondary+
422,NO,NO,NO,NO,NO DIFFICULTY,14.1,MALE,8.6,Second,Secondary
423,YES,NO,NO,NO,NO DIFFICULTY,11.2,MALE,8.5,Second,Secondary
425,YES,NO,NO,NO,NO DIFFICULTY,10.0,MALE,0.1,Fourth,Secondary
426,NO,YES,NO,NO,HAVE DIFFICULTY,13.4,FEMALE,10.0,Middle,Secondary
427,YES,NO,NO,NO,HAVE DIFFICULTY,16.1,FEMALE,55.3,Richest,Higher secondary+
430,YES,NO,NO,NO,HAVE DIFFICULTY,16.4,FEMALE,49.9,Poorest,Pre-primary or none
431,NO,NO,NO,NO,NO DIFFICULTY,11.8,MALE,16.6,Middle,Secondary
432,NO,NO,NO,NO,NO DIFFICULTY,13.2,MALE,17.3,Middle,Secondary
433,YES,NO,NO,NO,NO DIFFICULTY,12.4,FEMALE,17.4,Fourth,Higher secondary+
437,YES,NO,YES,NO,HAVE DIFFICULTY,14.7,MALE,22.2,Poorest,Pre-primary or none
438,NO,NO,NO,NO,NO DIFFICULTY,16.2,FEMALE,34.9,Middle,Secondary
439,NO,NO,NO,NO,NO DIFFICULTY,17.1,FEMALE,45.0,Fourth,Secondary
440,NO,NO,NO,NO,NO DIFFICULTY,11.4,MALE,2.0,Poorest,Primary
441,NO,NO,NO,NO,NO DIFFICULTY,14.1,MALE,1.7,Poorest,Primary
442,NO,NO,NO,NO,NO DIFFICULTY,13.7,MALE,2.9,Second,Secondary
443,YES,NO,YES,NO,NO DIFFICULTY,11.9,MALE,12.6,Fourth,Secondary
445,YES,NO,NO,NO,NO DIFFICULTY,12.4,MALE,6.0,Second,Secondary
446,YES,NO,NO,NO,HAVE DIFFICULTY,14.1,MALE,9.3,Poorest,Secondary
447,YES,NO,NO,NO,HAVE DIFFICULTY,10.8,MALE,8.2,Poorest,Secondary
449,YES,NO,NO,NO,NO DIFFICULTY,10.7,MALE,1.8,Middle,Primary
452,YES,YES,NO,NO,HAVE DIFFICULTY,15.3,MALE,7.5,Middle,Secondary
453,YES,YES,NO,NO,HAVE DIFFICULTY,14.7,MALE,3.8,Middle,Primary
454,NO,YES,YES,NO,NO DIFFICULTY,11.5,FEMALE,12.9,Second,Primary
456,YES,NO,NO,NO,HAVE DIFFICULTY,13.2,FEMALE,8.8,Poorest,Secondary
457,NO,NO,NO,NO,HAVE DIFFICULTY,16.2,FEMALE,50.0,Second,Secondary
459,NO,YES,YES,NO,NO DIFFICULTY,13.7,FEMALE,15.0,Middle,Secondary
460,YES,NO,YES,NO,NO DIFFICULTY,11.7,MALE,3.8,Richest,Secondary
461,YES,NO,NO,NO,HAVE DIFFICULTY,13.2,MALE,15.6,Second,Secondary
462,YES,NO,YES,NO,HAVE DIFFICULTY,14.4,MALE,4.6,Middle,Secondary
465,YES,YES,YES,NO,NO DIFFICULTY,13.3,MALE,9.8,Poorest,Primary
467,YES,YES,NO,NO,NO DIFFICULTY,13.2,MALE,28.7,Second,Secondary
471,YES,NO,NO,NO,NO DIFFICULTY,12.4,FEMALE,2.5,Second,Primary
472,YES,NO,NO,NO,HAVE DIFFICULTY,13.0,MALE,14.3,Poorest,Primary
474,YES,NO,NO,NO,NO DIFFICULTY,11.1,FEMALE,0.4,Middle,Secondary
